symbol,stockPrices
XNSE/FIEMIND,Fiem Industries Ltd. (FIEMIND) Adjusted Stock Prices
XNSE/SIMPLEX,Simplex Projects Ltd. (SIMPLEX) Adjusted Stock Prices
XNSE/BRABOURNE,RPG Life Sciences Ltd.
XNSE/RELMEDIA,Reliance MediaWorks Ltd
XNSE/HIKAL,Hikal Ltd. (HIKAL) Adjusted Stock Prices
XNSE/CESC,CESC Ltd. (CESC) Adjusted Stock Prices
XNSE/NISRTRANSFIN,Shriram Transport Finance Co. Ltd. (NISRTRANSFIN) Adjusted Stock Prices
XNSE/MFIPRU_8484,ICICI Prudential Asset Management Company Ltd. (MFIPRU.8484) Adjusted Stock Prices
XNSE/BANG,Bang Overseas Ltd (BANG) Adjusted Stock Prices
XNSE/SAKTHIFIN,Sakthi Finance Ltd.
XNSE/N6HUDCO,Housing & Urban Development Corporation. (N6HUDCO) Adjusted Stock Prices
XNSE/AEGISCHEM,Aegis Logistics Ltd. (AEGISCHEM) Adjusted Stock Prices
XNSE/SPECIALITY,Speciality Restaurants Ltd (SPECIALITY) Adjusted Stock Prices
XNSE/KERNEX,Kernex Microsystems (India) Ltd. (KERNEX) Adjusted Stock Prices
XNSE/DISHMAN,Dishman Pharmaceuticals & Chemicals Ltd. (DISHMAN) Adjusted Stock Prices
XNSE/GLODYNE,Glodyne Technoserve Ltd
XNSE/COLPAL,Colgate-Palmolive (India) Ltd. (COLPAL) Adjusted Stock Prices
XNSE/BYKE,Byke Hospitality Ltd (BYKE) Adjusted Stock Prices
XNSE/PANCARBON,Panasonic Carbon India Co. Ltd.
XNSE/ADLABS,Adlabs Entertainment Limited (ADLABS) Adjusted Stock Prices
XNSE/N6SBIN,State Bank of India (N6SBIN) Adjusted Stock Prices
XNSE/MFH37027ARG4,HDFC Asset Management Company Ltd. (MFH37027ARG4) Adjusted Stock Prices
XNSE/N4MUTHOOTFIN,Muthoot Finance Ltd. (N4MUTHOOTFIN) Adjusted Stock Prices
XNSE/BAJAJHIND,Bajaj Hindusthan Sugar Ltd. (BAJAJHIND) Adjusted Stock Prices
XNSE/MARKSANS,Marksans Pharma Ltd . (MARKSANS) Adjusted Stock Prices
XNSE/EUROTEXIND,Eurotex Industries & Exports Ltd. (EUROTEXIND) Adjusted Stock Prices
XNSE/DTIL,Dhunseri Tea & Industries Ltd (DTIL) Adjusted Stock Prices
XNSE/HSIL,HSIL Ltd (HSIL) Adjusted Stock Prices
XNSE/SAMINDUS,Sam Industries Ltd. (SAMINDUS) Adjusted Stock Prices
XNSE/OBEROIRLTY,Oberoi Realty Limited (OBEROIRLTY) Adjusted Stock Prices
XNSE/N1IRFC,Indian Railway Finance Corp (N1IRFC) Adjusted Stock Prices
XNSE/N5IIFLFIN,India Infoline Finance Ltd (N5IIFLFIN) Adjusted Stock Prices
XNSE/NECLIFE,Nectar Lifesciences Ltd. (NECLIFE) Adjusted Stock Prices
XNSE/KTIL,Kesar Terminals & Infrastructure Ltd. (KTIL) Adjusted Stock Prices
XNSE/N6IRFC,Indian Railway Finance Corp (N6IRFC) Adjusted Stock Prices
XNSE/AUROPHARMA,Aurobindo Pharma Ltd. (AUROPHARMA) Adjusted Stock Prices
XNSE/FACT,Fertilisers & Chemicals Travancore Ltd. (FACT) Adjusted Stock Prices
XNSE/CORDSCABLE,Cords Cable Industries Ltd (CORDSCABLE) Adjusted Stock Prices
XNSE/CYBERTECH,Cybertech Systems & Software Ltd. (CYBERTECH) Adjusted Stock Prices
XNSE/N4HUDCO,Housing & Urban Development Corporation. (N4HUDCO) Adjusted Stock Prices
XNSE/GLENMARK,Glenmark Pharmaceuticals Ltd. (GLENMARK) Adjusted Stock Prices
XNSE/REVATHI,Revathi Equipment Ltd. (REVATHI) Adjusted Stock Prices
XNSE/ORBTEXP,Orbit Exports Ltd. (ORBTEXP) Adjusted Stock Prices
XNSE/MAWANA,Mawana Sugars Ltd.
XNSE/INGVYSYABK,Ing Vysya Bank Ltd.
XNSE/MANJEERA,Manjeera Constructions Ltd
XNSE/TRIGYN,Trigyn Technologies Ltd. (TRIGYN) Adjusted Stock Prices
XNSE/SAIL,Steel Authority of India Ltd. (SAIL) Adjusted Stock Prices
XNSE/BAJFINANCE,Bajaj Finance Ltd (BAJFINANCE) Adjusted Stock Prices
XNSE/VIVIDHA,Visagar Polytex Ltd (VIVIDHA) Adjusted Stock Prices
XNSE/SONATSOFTW,Sonata Software Ltd. (SONATSOFTW) Adjusted Stock Prices
XNSE/KSERASERA,KSS Ltd (KSERASERA) Adjusted Stock Prices
XNSE/JMA,Jullundur Motor Agency (Delhi) Ltd. (JMA) Adjusted Stock Prices
XNSE/AUSTRAL,Greenearth Resources & Projects Ltd. (AUSTRAL) Adjusted Stock Prices
XNSE/PETRONENGG,Petron Engineering Construction Ltd. (PETRONENGG) Adjusted Stock Prices
XNSE/ASAHISONG,Asahi Songwon Colors Ltd. (ASAHISONG) Adjusted Stock Prices
XNSE/HINDZINC,Hindustan Zinc Ltd. (HINDZINC) Adjusted Stock Prices
XNSE/MFSC3RG,Sundaram Asset Management Company Limited (MFSC3RG) Adjusted Stock Prices
XNSE/TCIDEVELOP,TCI Developers Ltd. (TCIDEVELOP) Adjusted Stock Prices
XNSE/DALMIAREF,Shri Nataraj Ceramic & Chemical Industries Ltd
XNSE/AUSOMENT,Ausom Enterprise Ltd (AUSOMENT) Adjusted Stock Prices
XNSE/BFUTILITIE,BF Utilities Ltd. (BFUTILITIE) Adjusted Stock Prices
XNSE/JBMA,JBM Auto Ltd (JBMA) Adjusted Stock Prices
XNSE/MFIPRU8490,ICICI Prudential Asset Management Company Ltd. (MFIPRU8490) Adjusted Stock Prices
XNSE/RSYSTEMS,R Systems International Ltd. (RSYSTEMS) Adjusted Stock Prices
XNSE/ORIENTBELL,Orient Bell Ltd (ORIENTBELL) Adjusted Stock Prices
XNSE/SKMEGGPROD,SKM Egg Products Export (India) Ltd. (SKMEGGPROD) Adjusted Stock Prices
XNSE/PANCHSHEEL,Panchsheel Organics Ltd.
XNSE/SUNFLAG,Sunflag Iron & Steel Co. Ltd. (SUNFLAG) Adjusted Stock Prices
XNSE/ELECTHERM,Electrotherm (India) Ltd. (ELECTHERM) Adjusted Stock Prices
XNSE/MFRSDFSA27GR,SBI Funds Management Private Limited (MFRSDFSA27GR) Adjusted Stock Prices
XNSE/MTNL,Mahanagar Telephone Nigam Ltd. (MTNL) Adjusted Stock Prices
XNSE/BALPHARMA,Bal Pharma Ltd. (BALPHARMA) Adjusted Stock Prices
XNSE/N1NHBTF2023,National Housing Bank (N1NHBTF2023) Adjusted Stock Prices
XNSE/DONEAR,Donear Industries Ltd. (DONEAR) Adjusted Stock Prices
XNSE/M50,Motilal Oswal Asset Management Company Limited (M50) Adjusted Stock Prices
XNSE/NMSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NMSRTRANSFIN) Adjusted Stock Prices
XNSE/HILTON,Hilton Metal Forging Ltd. (HILTON) Adjusted Stock Prices
XNSE/WYETH,Wyeth Ltd.
XNSE/ORGINFO,ORG Informatics Ltd. (ORGINFO) Adjusted Stock Prices
XNSE/MFBSLRGES1RD,Birla Sun Life Asset Management Company Ltd (MFBSLRGES1RD) Adjusted Stock Prices
XNSE/PIIND,PI Industries Ltd. (PIIND) Adjusted Stock Prices
XNSE/FLFL,Future Lifestyle Fashions Ltd (FLFL) Adjusted Stock Prices
XNSE/GENUSPAPER,Genus Paper & Boards Ltd. (GENUSPAPER) Adjusted Stock Prices
XNSE/PENINLAND,Peninsula Land Ltd. (PENINLAND) Adjusted Stock Prices
XNSE/UNITECH,Unitech Ltd. (UNITECH) Adjusted Stock Prices
XNSE/MCX,Multi Commodity Exchange of India Ltd (MCX) Adjusted Stock Prices
XNSE/NIFTYBEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (NIFTYBEES) Adjusted Stock Prices
XNSE/PURVA,Puravankara Ltd. (PURVA) Adjusted Stock Prices
XNSE/E4KARURVYSYA,Karur Vysya Bank Ltd. (E4KARURVYSYA) Adjusted Stock Prices
XNSE/AGARIND,Agarwal Industrial Corporation Ltd (AGARIND) Adjusted Stock Prices
XNSE/INFRABEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (INFRABEES) Adjusted Stock Prices
XNSE/N9MUTHOOTFIN,Muthoot Finance Ltd. (N9MUTHOOTFIN) Adjusted Stock Prices
XNSE/TRENT,Trent Ltd. (TRENT) Adjusted Stock Prices
XNSE/TNPL,Tamil Nadu Newsprint & Papers Ltd. (TNPL) Adjusted Stock Prices
XNSE/STARPAPER,Star Paper Mills Ltd. (STARPAPER) Adjusted Stock Prices
XNSE/MOHITIND,Mohit Industries Ltd. (MOHITIND) Adjusted Stock Prices
XNSE/NEHAINT,Neha International Ltd. (NEHAINT) Adjusted Stock Prices
XNSE/QUINTEGRA,Quintegra Solutions Ltd. (QUINTEGRA) Adjusted Stock Prices
XNSE/IOB,Indian Overseas Bank (IOB) Adjusted Stock Prices
XNSE/SOMANYCERA,Somany Ceramics Ltd. (SOMANYCERA) Adjusted Stock Prices
XNSE/INOXLEISUR,INOX Leisure Ltd. (INOXLEISUR) Adjusted Stock Prices
XNSE/NOVOPANIND,Novopan India Ltd.
XNSE/TTKPRESTIG,TTK Prestige Ltd. (TTKPRESTIG) Adjusted Stock Prices
XNSE/TRF,TRF Ltd. (TRF) Adjusted Stock Prices
XNSE/TEXRAIL,Texmaco Rail & Engineering Ltd (TEXRAIL) Adjusted Stock Prices
XNSE/SPLIL,SPL Industries Ltd (SPLIL) Adjusted Stock Prices
XNSE/HGS,Hinduja Global Solutions Ltd. (HGS) Adjusted Stock Prices
XNSE/GTOFFSHORE,GOL Offshore Ltd (GTOFFSHORE) Adjusted Stock Prices
XNSE/COROMANDEL,Coromandel International Ltd (COROMANDEL) Adjusted Stock Prices
XNSE/NUTEK,Nu Tek India Ltd (NUTEK) Adjusted Stock Prices
XNSE/Q2TRENT,Trent Ltd.
XNSE/GRPLTD,GRP Ltd. (GRPLTD) Adjusted Stock Prices
XNSE/SMAHIMSA,Ahimsa Industries Ltd. (SMAHIMSA) Adjusted Stock Prices
XNSE/KOTHARIPRO,Kothari Products Ltd. (KOTHARIPRO) Adjusted Stock Prices
XNSE/UNIONBANK,Union Bank of India (UNIONBANK) Adjusted Stock Prices
XNSE/JYOTHYLAB,Jyothy Laboratories Ltd. (JYOTHYLAB) Adjusted Stock Prices
XNSE/MPSLTD,MPS Ltd (MPSLTD) Adjusted Stock Prices
XNSE/VGUARD,V-Guard Industries Ltd (VGUARD) Adjusted Stock Prices
XNSE/MANAPPURAM,Manappuram Finance Ltd (MANAPPURAM) Adjusted Stock Prices
XNSE/N9SHRIRAMCIT,Shriram City Union Finance Ltd. (N9SHRIRAMCIT) Adjusted Stock Prices
XNSE/GMRINFRA,GMR Infrastructure Ltd. (GMRINFRA) Adjusted Stock Prices
XNSE/P1NETWORK18,Network 18 Media & Investments Ltd. (P1NETWORK18) Adjusted Stock Prices
XNSE/VISHNU,Vishnu Chemicals Ltd (VISHNU) Adjusted Stock Prices
XNSE/INDSWFTLAB,Ind-Swift Laboratories Ltd. (INDSWFTLAB) Adjusted Stock Prices
XNSE/GUJSTATFIN,Gujarat State Financial Corporation (GUJSTATFIN) Adjusted Stock Prices
XNSE/INDHOTEL,Indian Hotels Co. Ltd. (INDHOTEL) Adjusted Stock Prices
XNSE/MOREPENLAB,Morepen Laboratories Ltd. (MOREPENLAB) Adjusted Stock Prices
XNSE/KKCL,Kewal Kiran Clothing Ltd. (KKCL) Adjusted Stock Prices
XNSE/TV18BRDCST,TV18 Broadcast Ltd (TV18BRDCST) Adjusted Stock Prices
XNSE/ZEEMEDIA,Zee Media Corporation Ltd (ZEEMEDIA) Adjusted Stock Prices
XNSE/BATAINDIA,Bata India Ltd. (BATAINDIA) Adjusted Stock Prices
XNSE/NJSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NJSRTRANSFIN) Adjusted Stock Prices
XNSE/JINDALSTEL,Jindal Steel & Power Ltd. (JINDALSTEL) Adjusted Stock Prices
XNSE/NVSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NVSRTRANSFIN) Adjusted Stock Prices
XNSE/HINDNATGLS,Hindusthan National Glass & Industries Ltd. (HINDNATGLS) Adjusted Stock Prices
XNSE/DSSL,Dynacons Systems & Solutions Ltd. (DSSL) Adjusted Stock Prices
XNSE/BECREL,Best & Crompton Engg. Ltd. (BECREL) Adjusted Stock Prices
XNSE/HIRECT,Hind Rectifiers Ltd. (HIRECT) Adjusted Stock Prices
XNSE/DBCORP,D.B. Corp Limited (DBCORP) Adjusted Stock Prices
XNSE/PRAKASHSTL,Prakash Steelage Ltd (PRAKASHSTL) Adjusted Stock Prices
XNSE/DECCANCE,Deccan Cements Ltd. (DECCANCE) Adjusted Stock Prices
XNSE/AARTIDRUGS,Aarti Drugs Ltd. (AARTIDRUGS) Adjusted Stock Prices
XNSE/NXSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NXSRTRANSFIN) Adjusted Stock Prices
XNSE/P1PASUPATI,Pasupati Fabrics Ltd. (P1PASUPATI) Adjusted Stock Prices
XNSE/WENDT,Wendt (India) Ltd. (WENDT) Adjusted Stock Prices
XNSE/BALAJITELE,Balaji Telefilms Ltd. (BALAJITELE) Adjusted Stock Prices
XNSE/PRECOT,Precot Meridian Ltd. (PRECOT) Adjusted Stock Prices
XNSE/BHUSANSTL,Bhushan Steel Ltd (BHUSANSTL) Adjusted Stock Prices
XNSE/PRESSMN,Pressman Advertising Ltd (PRESSMN) Adjusted Stock Prices
XNSE/STCINDIA,State Trading Corporation of India Ltd. (STCINDIA) Adjusted Stock Prices
XNSE/OMAXAUTO,Omax Autos Ltd. (OMAXAUTO) Adjusted Stock Prices
XNSE/N7HUDCO,Housing & Urban Development Corporation. (N7HUDCO) Adjusted Stock Prices
XNSE/P1JSWSTEEL,JSW Steel Ltd. (P1JSWSTEEL) Adjusted Stock Prices
XNSE/MTEDUCARE,MT Educare Ltd (MTEDUCARE) Adjusted Stock Prices
XNSE/KCPSUGIND,KCP Sugar Ind. Corp. Ltd (KCPSUGIND) Adjusted Stock Prices
XNSE/TREEHOUSE,Tree House Education & Accessories Ltd (TREEHOUSE) Adjusted Stock Prices
XNSE/VIPIND,V.I.P. Industries Ltd. (VIPIND) Adjusted Stock Prices
XNSE/SEINV,S.E. Investments Ltd (SEINV) Adjusted Stock Prices
XNSE/QGOLDHALF,Quantum Asset Management Co Pvt Ltd (QGOLDHALF) Adjusted Stock Prices
XNSE/BALLARPUR,Ballarpur Industries Ltd. (BALLARPUR) Adjusted Stock Prices
XNSE/P1ESTL,Essar Steel Ltd. (P1ESTL) Adjusted Stock Prices
XNSE/N3RECLTD,Rural Electrification Corporation Ltd (N3RECLTD) Adjusted Stock Prices
XNSE/TATAMTRDVR,Tata Motors Ltd. (TATAMTRDVR) Adjusted Stock Prices
XNSE/GATI,Gati Ltd. (GATI) Adjusted Stock Prices
XNSE/DYNAMATECH,Dynamatic Technologies Ltd. (DYNAMATECH) Adjusted Stock Prices
XNSE/AURIONPRO,Aurionpro Solutions Ltd. (AURIONPRO) Adjusted Stock Prices
XNSE/DEEPIND,Deep Industries Ltd. (DEEPIND) Adjusted Stock Prices
XNSE/PENIND,Pennar Industries Ltd. (PENIND) Adjusted Stock Prices
XNSE/TELEDATAGL,Tele Data Informatics Ltd.
XNSE/CNOVAPETRO,CIL Nova Petrochemicals Ltd (CNOVAPETRO) Adjusted Stock Prices
XNSE/TREADS,Treadsdirect Ltd
XNSE/NOIDATOLL,Noida Toll Bridge Co. Ltd. (NOIDATOLL) Adjusted Stock Prices
XNSE/GOLDENTOBC,Golden Tobacco Ltd (GOLDENTOBC) Adjusted Stock Prices
XNSE/NUCHEM,Nuchem Ltd. (NUCHEM) Adjusted Stock Prices
XNSE/N100,Motilal Oswal Asset Management Company Limited (N100) Adjusted Stock Prices
XNSE/JUPITER,Jupiter Bioscience Ltd.
XNSE/MFRD366D38RG,SBI Funds Management Private Limited (MFRD366D38RG) Adjusted Stock Prices
XNSE/SNOWMAN,Snowman Logistics Ltd. (SNOWMAN) Adjusted Stock Prices
XNSE/MRF,MRF Ltd. (MRF) Adjusted Stock Prices
XNSE/WINSOME,Winsome Yarns Ltd. (WINSOME) Adjusted Stock Prices
XNSE/SHARDAMOTR,Sharda Motor Industries Ltd (SHARDAMOTR) Adjusted Stock Prices
XNSE/NGSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NGSRTRANSFIN) Adjusted Stock Prices
XNSE/MFFTFTF12CDV,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF12CDV) Adjusted Stock Prices
XNSE/INDIABULLS,Indiabulls Financial Services
XNSE/SETFBANK,SBI Funds Management Private Limited (SETFBANK) Adjusted Stock Prices
XNSE/BANARBEADS,Banaras Beads Ltd. (BANARBEADS) Adjusted Stock Prices
XNSE/GOLDTECH,Goldstone Technologies Ltd (GOLDTECH) Adjusted Stock Prices
XNSE/CANFINHOME,Can Fin Homes Ltd. (CANFINHOME) Adjusted Stock Prices
XNSE/PDUMJEIND,Pudumjee Industries Ltd (PDUMJEIND) Adjusted Stock Prices
XNSE/STOREONE,SORIL Infra Resources Ltd. (STOREONE) Adjusted Stock Prices
XNSE/GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd (GNFC) Adjusted Stock Prices
XNSE/BSL,BSL Ltd. (BSL) Adjusted Stock Prices
XNSE/GOKUL,Gokul Refoils & Solvent Ltd. (GOKUL) Adjusted Stock Prices
XNSE/GESHIP,Great Eastern Shipping Co. Ltd. (GESHIP) Adjusted Stock Prices
XNSE/BEARDSELL,Beardsell Ltd. (BEARDSELL) Adjusted Stock Prices
XNSE/BANARISUG,Bannari Amman Sugars Ltd. (BANARISUG) Adjusted Stock Prices
XNSE/SARTHAKIND,Sarthak Industries Ltd. (SARTHAKIND) Adjusted Stock Prices
XNSE/FAME,Fame India Ltd
XNSE/PREMIER,Premier Ltd. (PREMIER) Adjusted Stock Prices
XNSE/BOSCHCHASY,Bosch Chassis Systems India Ltd.
XNSE/DHANUKA,Dhanuka Agritech Ltd (DHANUKA) Adjusted Stock Prices
XNSE/MIC,MIC Electronics Ltd. (MIC) Adjusted Stock Prices
XNSE/INTEGRA,Integra Garments & Textiles Ltd (INTEGRA) Adjusted Stock Prices
XNSE/LINDEINDIA,Linde India Ltd (LINDEINDIA) Adjusted Stock Prices
XNSE/MFRFXXII29GR,Reliance Capital Asset Management Ltd (MFRFXXII29GR) Adjusted Stock Prices
XNSE/TIDEWATER,Tide Water Oil (India) Ltd. (TIDEWATER) Adjusted Stock Prices
XNSE/BHEL,Bharat Heavy Electricals Ltd. (BHEL) Adjusted Stock Prices
XNSE/ASTRAL,Astral Poly Technik Ltd. (ASTRAL) Adjusted Stock Prices
XNSE/ORIENTINFO,Orient Information Technology Ltd. (ORIENTINFO) Adjusted Stock Prices
XNSE/NITINSPIN,Nitin Spinners Ltd. (NITINSPIN) Adjusted Stock Prices
XNSE/SANGHVIMOV,Sanghvi Movers Ltd. (SANGHVIMOV) Adjusted Stock Prices
XNSE/KABRAEXTRU,Kabra Extrusiontechnik Ltd. (KABRAEXTRU) Adjusted Stock Prices
XNSE/MFDWSFMP4GR,Deutsche Asset Management (India) Pvt Ltd (MFDWSFMP4GR) Adjusted Stock Prices
XNSE/LAKSHMIMIL,Lakshmi Mills Co. Ltd.
XNSE/N4NHBTF2014,National Housing Bank (N4NHBTF2014) Adjusted Stock Prices
XNSE/FILATEX,Filatex India Ltd. (FILATEX) Adjusted Stock Prices
XNSE/NELCAST,Nelcast Ltd. (NELCAST) Adjusted Stock Prices
XNSE/LOTTEINDIA,Lotte India Corporation Ltd. (LOTTEINDIA) Adjusted Stock Prices
XNSE/AMLSTEEL,AML Steel Ltd. (AMLSTEEL) Adjusted Stock Prices
XNSE/NITESHEST,Nitesh Estates Ltd. (NITESHEST) Adjusted Stock Prices
XNSE/MAHLIFE,Mahindra Lifespace Developers Ltd. (MAHLIFE) Adjusted Stock Prices
XNSE/JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd. (JBCHEPHARM) Adjusted Stock Prices
XNSE/PIPAVAVDOC,Reliance Defence & Engineering Ltd. (PIPAVAVDOC) Adjusted Stock Prices
XNSE/HINVDIR,IL&FS Investsmart Ltd.
XNSE/TIMETECHNO,Time Technoplast Ltd. (TIMETECHNO) Adjusted Stock Prices
XNSE/FINANTECH,63 Moons Technologies Ltd. (FINANTECH) Adjusted Stock Prices
XNSE/ITELITE,Elite Conductors Ltd. (ITELITE) Adjusted Stock Prices
XNSE/OMMETALS,OM Metals Infraprojects Ltd. (OMMETALS) Adjusted Stock Prices
XNSE/HERCULES,Hercules Hoists Ltd. (HERCULES) Adjusted Stock Prices
XNSE/GOKEX,Gokaldas Exports Ltd. (GOKEX) Adjusted Stock Prices
XNSE/CELESTIAL,Celestial Biolabs Ltd (CELESTIAL) Adjusted Stock Prices
XNSE/TECHNOFAB,Technofab Engineering Ltd (TECHNOFAB) Adjusted Stock Prices
XNSE/NASHRIRAMCIT,Shriram City Union Finance Ltd. (NASHRIRAMCIT) Adjusted Stock Prices
XNSE/TIPSINDLTD,Tips Industries Ltd. (TIPSINDLTD) Adjusted Stock Prices
XNSE/MFSMCSRVRG,Sundaram Asset Management Company Limited (MFSMCSRVRG) Adjusted Stock Prices
XNSE/UNIPLY,Uniply Industries Ltd (UNIPLY) Adjusted Stock Prices
XNSE/SUTLEJTEX,Sutlej Textiles and Industries Ltd (SUTLEJTEX) Adjusted Stock Prices
XNSE/MFHRGESSRD1,HDFC Asset Management Company Ltd. (MFHRGESSRD1) Adjusted Stock Prices
XNSE/STINDIA,STI India Ltd. (STINDIA) Adjusted Stock Prices
XNSE/IPCALAB,Ipca Laboratories Ltd. (IPCALAB) Adjusted Stock Prices
XNSE/TVSSRICHAK,TVS Srichakra Ltd. (TVSSRICHAK) Adjusted Stock Prices
XNSE/COUNCODOS,Country Condo`s Ltd (COUNCODOS) Adjusted Stock Prices
XNSE/GAMMONIND,Gammon India Ltd. (GAMMONIND) Adjusted Stock Prices
XNSE/MFRMFINARGG1,Reliance Capital Asset Management Ltd (MFRMFINARGG1) Adjusted Stock Prices
XNSE/RAINBOWPAP,Rainbow Papers Ltd. (RAINBOWPAP) Adjusted Stock Prices
XNSE/MFDWSFMP66RG,Deutsche Asset Management (India) Pvt Ltd (MFDWSFMP66RG) Adjusted Stock Prices
XNSE/LPDC,Landmark Property Development Company Ltd (LPDC) Adjusted Stock Prices
XNSE/LGBBROSLTD,L.G. Balakrishnan & Bros Ltd. (LGBBROSLTD) Adjusted Stock Prices
XNSE/TRIL,Transformers & Rectifiers (India) Ltd. (TRIL) Adjusted Stock Prices
XNSE/EXCELINDUS,Excel Industries Ltd. (EXCELINDUS) Adjusted Stock Prices
XNSE/NAIIFLFIN,India Infoline Finance Ltd (NAIIFLFIN) Adjusted Stock Prices
XNSE/JAGRAN,Jagran Prakashan Ltd. (JAGRAN) Adjusted Stock Prices
XNSE/GOLDINFRA,Goldstone Infratech Ltd. (GOLDINFRA) Adjusted Stock Prices
XNSE/INDORAMA,Indo Rama Synthetics Ltd. (INDORAMA) Adjusted Stock Prices
XNSE/N8MUTHOOTFIN,Muthoot Finance Ltd. (N8MUTHOOTFIN) Adjusted Stock Prices
XNSE/MMWL,Media Matrix Worldwide Ltd.
XNSE/EMKAY,Emkay Global Financial Services Ltd (EMKAY) Adjusted Stock Prices
XNSE/FARMAXIND,Farmax India Ltd (FARMAXIND) Adjusted Stock Prices
XNSE/HINDSYNTEX,Hind Syntex Ltd. (HINDSYNTEX) Adjusted Stock Prices
XNSE/ASIANELEC,Asian Electronics Ltd.
XNSE/MEGASOFT,Megasoft Ltd. (MEGASOFT) Adjusted Stock Prices
XNSE/VARUNSHIP,Varun Shipping Co. Ltd.
XNSE/GLOBALVECT,Global Vectra Helicorp Ltd. (GLOBALVECT) Adjusted Stock Prices
XNSE/ALPINEHOU,Alpine Housing Development Corporation Ltd.
XNSE/MFBSLFTPKUDG,Birla Sun Life Asset Management Company Ltd (MFBSLFTPKUDG) Adjusted Stock Prices
XNSE/EKC,Everest Kanto Cylinder Ltd. (EKC) Adjusted Stock Prices
XNSE/SURYALAXMI,Suryalakshmi Cotton Mills Ltd. (SURYALAXMI) Adjusted Stock Prices
XNSE/NZSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NZSRTRANSFIN) Adjusted Stock Prices
XNSE/SPANCO,Spanco Ltd
XNSE/SABTN,Sri Adhikari Brothers Television Network Ltd. (SABTN) Adjusted Stock Prices
XNSE/CARBORUNIV,Carborundum Universal Ltd. (CARBORUNIV) Adjusted Stock Prices
XNSE/SYNCOM,Syncom Healthcare Limited (SYNCOM) Adjusted Stock Prices
XNSE/VENUSREM,Venus Remedies Ltd. (VENUSREM) Adjusted Stock Prices
XNSE/N4NHPC,NHPC Limited (N4NHPC) Adjusted Stock Prices
XNSE/GLFL,Gujarat Lease Financing Ltd. (GLFL) Adjusted Stock Prices
XNSE/MFIPRU2256,ICICI Prudential Asset Management Company Ltd. (MFIPRU2256) Adjusted Stock Prices
XNSE/SHRENUJ,Shrenuj & Co. Ltd. (SHRENUJ) Adjusted Stock Prices
XNSE/SANGHIPOLY,Sanghi Polysters Ltd. (SANGHIPOLY) Adjusted Stock Prices
XNSE/GUJGASLTD,Gujarat Gas Ltd (GUJGASLTD) Adjusted Stock Prices
XNSE/VTL,Vardhman Textiles Ltd (VTL) Adjusted Stock Prices
XNSE/ONWARDTEC,Onward Technologies Ltd. (ONWARDTEC) Adjusted Stock Prices
XNSE/OMAXE,Omaxe Ltd. (OMAXE) Adjusted Stock Prices
XNSE/N1JYOTISTRUC,Jyoti Structures Ltd. (N1JYOTISTRUC) Adjusted Stock Prices
XNSE/ALPA,Alpa Laboratories Ltd. (ALPA) Adjusted Stock Prices
XNSE/TOKYOPLAST,Tokyo Plast International Ltd. (TOKYOPLAST) Adjusted Stock Prices
XNSE/SKFINDIA,SKF India Ltd. (SKFINDIA) Adjusted Stock Prices
XNSE/POLARIND,Polar Industries Ltd. (POLARIND) Adjusted Stock Prices
XNSE/CENTUM,Centum Electronics Ltd. (CENTUM) Adjusted Stock Prices
XNSE/ENIL,Entertainment Network (India) Ltd. (ENIL) Adjusted Stock Prices
XNSE/BIRLAPOWER,Birla Power Solutions Ltd.
XNSE/IFGLREFRAC,IFGL Refractories Ltd. (IFGLREFRAC) Adjusted Stock Prices
XNSE/TTL,T T Ltd. (TTL) Adjusted Stock Prices
XNSE/RAJESHEXPO,Rajesh Exports Ltd. (RAJESHEXPO) Adjusted Stock Prices
XNSE/KMSUGAR,K.M. Sugar Mills Ltd. (KMSUGAR) Adjusted Stock Prices
XNSE/PASUPATI,Pasupati Fabrics Ltd. (PASUPATI) Adjusted Stock Prices
XNSE/MANGLMCEM,Mangalam Cement Ltd. (MANGLMCEM) Adjusted Stock Prices
XNSE/PATELENG,Patel Engineering Ltd. (PATELENG) Adjusted Stock Prices
XNSE/KAVVERITEL,Kavveri Telecom Products Ltd. (KAVVERITEL) Adjusted Stock Prices
XNSE/SHRIRAMEPC,Shriram EPC Ltd (SHRIRAMEPC) Adjusted Stock Prices
XNSE/ALFALAVAL,Alfa Laval (India) Ltd.
XNSE/MANDHANA,Mandhana Industries Ltd. (MANDHANA) Adjusted Stock Prices
XNSE/AMAR,Amar Remedies Ltd.
XNSE/MONSANTO,Monsanto India Ltd. (MONSANTO) Adjusted Stock Prices
XNSE/IVRCLINFRA,IVRCL Ltd (IVRCLINFRA) Adjusted Stock Prices
